Pressure(kPa),Loading(mmol/g)
0.0646373,0.009464286
0.131,0.019393304
0.197,0.029261607
0.262,0.038873661
0.327,0.048581696
0.425,0.062900446
0.658,0.096451339
0.821,0.119510714
0.984,0.142115625
1.269,0.182596875
2,0.279028571
2.62,0.356967857
4.658,0.593113393
6.56,0.793836161
8.48,0.982689286
10.501,1.169862054
12.438,1.340400893
14.412,1.506662946
16.396,1.667117857
18.382,1.821464286
20.329,1.967028571
22.329,2.111202679
24.246,2.244151786
26.235,2.376997321
28.228,2.505035268
30.252,2.630124554
32.278,2.750187054
34.181,2.858574107
36.183,2.967965625
38.198,3.073999107
40.159,3.172866964
42.102,3.267011161
44.045,3.357100893
46.004,3.444432143
48.081,3.533427232
49.967,3.611182589
52.001,3.691437054
53.991,3.767052232
55.972,3.839647768
57.95,3.909340625
59.929,3.976071429
61.907,4.040662054
63.875,4.102741518
65.783,4.160430357
67.8,4.219447768
69.723,4.274136607
71.788,4.330433036
73.722,4.381168304
75.718,4.432898214
77.689,4.481299554
79.573,4.526726339
81.632,4.574759821
83.616,4.61935
85.574,4.662413393
87.603,4.705103125
89.515,4.744572321
91.512,4.785122321
93.409,4.8217375
95.314,4.858234821
97.362,4.896130357
99.349,4.931775
