P(kPa),Component 1 Up,Component 2 Up,Component 1 x,Component 2 x,S,SP
1.000000,0.013491,0.168992,0.073929,0.926071,0.718475,-0.047575
2.000000,0.041913,0.282712,0.129112,0.870888,1.334283,0.094506
3.000000,0.082685,0.396720,0.172475,0.827525,1.875800,0.347447
4.000000,0.132463,0.507633,0.206942,0.793058,2.348478,0.684532
5.000000,0.188086,0.613586,0.234617,0.765383,2.758814,1.079184
6.000000,0.247008,0.713827,0.257076,0.742924,3.114294,1.509241
7.000000,0.307358,0.808261,0.275504,0.724496,3.422433,1.957959
8.000000,0.367837,0.897124,0.290789,0.709211,3.690164,2.413409
9.000000,0.427578,0.980790,0.303598,0.696402,3.923572,2.867410
10.000000,0.486022,1.059678,0.314435,0.685565,4.127853,3.314516
20.000000,0.968308,1.659723,0.368454,0.631546,5.250739,7.055048
30.000000,1.291288,2.053854,0.386019,0.613981,5.658432,9.567738
40.000000,1.513672,2.337964,0.392994,0.607006,5.826884,11.285081
50.000000,1.672911,2.554978,0.395685,0.604315,5.892889,12.501222
60.000000,1.790695,2.727649,0.396317,0.603683,5.908480,13.388610
70.000000,1.880085,2.869313,0.395858,0.604142,5.897149,14.051453
80.000000,1.949319,2.988348,0.394785,0.605215,5.870759,14.555523
90.000000,2.003815,3.090301,0.393359,0.606641,5.835786,14.944034
100.000000,2.047264,3.178999,0.391726,0.608274,5.795968,15.246379
105.000000,2.065688,3.219264,0.390862,0.609138,5.774982,15.371926
