Loading (mmol/g),Qst (kJ/mol),Qst Std Error (kJ/mol)
0.52,10.7129,0.0260372
0.79575,10.2235,0.0261161
1.0715,9.80723,0.0262287
1.34725,9.46004,0.0263753
1.623,9.17828,0.0265565
1.89875,8.95867,0.0267733
2.1745,8.79832,0.0270265
2.45025,8.6947,0.0273173
2.726,8.64558,0.027647
3.00175,8.64906,0.0280174
3.2775,8.70351,0.0284301
3.55325,8.80754,0.0288874
3.829,8.96004,0.0293916
4.10475,9.16007,0.0299456
4.3805,9.40691,0.0305525
4.65625,9.70001,0.031216
4.932,10.0389,0.0319403
5.20775,10.4234,0.0327299
5.4835,10.8533,0.0335902
5.75925,11.3284,0.0345274
6.035,11.8487,0.0355482
6.31075,12.4143,0.0366603
6.5865,13.025,0.0378724
6.86225,13.6809,0.0391942
7.138,14.3819,0.0406366
7.41375,15.128,0.0422116
7.6895,15.919,0.0439324
7.96525,16.7545,0.0458137
8.241,17.6342,0.0478715
8.51675,18.5576,0.0501233
8.7925,19.5239,0.0525878
9.06825,20.5322,0.0552856
9.344,21.5814,0.0582382
9.61975,22.6702,0.0614691
9.8955,23.7969,0.0650027
10.1713,24.9597,0.0688653
10.447,26.1564,0.0730842
10.7228,27.3845,0.0776883
10.9985,28.6411,0.0827077
11.2743,29.923,0.088174
11.55,31.2265,0.09412
